RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID,REGION_dirty,ST_dirty,CIT_dirty,NATIVITY_dirty,RAC1P_dirty,RAC2P_dirty,POBP_dirty,WAOB_dirty
6,2,4,6,4,2,2,9,41,205,4,237098,9,,,1,,48,,
9,1,4,6,4,2,2,9,68,313,3,339883,,,,1,,27,,
6,1,4,6,4,2,2,9,45,233,4,220884,1,22,,,,55,,
9,2,3,48,4,2,2,7,68,303,3,2910201,,22,,,,,,4
1,2,3,12,4,2,2,5,1,164,5,660368,,,,1,9,,21,2
1,1,3,51,4,2,2,5,1,316,3,3054233,9,,,,,10,,
8,2,1,34,5,2,2,2,67,364,3,1839793,,21,1,,,,,
8,1,3,48,5,2,2,7,67,303,3,2953441,2,,,,,,,6
9,1,3,12,5,2,2,5,68,327,3,774889,,27,1,1,,,,
6,1,2,17,4,2,2,3,38,210,4,1030973,,,1,1,9,,,
2,1,1,36,4,2,2,2,2,338,3,1982538,3,,,,,,,7
9,1,1,34,5,2,2,2,68,303,3,1873419,,,,,1,2,31,
1,1,1,36,5,2,2,2,1,116,5,1958127,,,,,,27,,
8,2,4,53,4,2,2,9,67,303,3,3110959,,15,,,,42,104,1
8,2,4,6,5,2,2,9,67,303,3,359884,2,,,1,2,,235,7
9,1,3,51,4,2,2,5,68,365,3,3076461,,23,,,,,166,
8,2,4,53,5,2,2,9,67,303,3,3153977,,,,1,,12,,
6,2,3,22,4,2,2,7,45,233,4,1312581,,,,1,,18,168,
8,1,1,36,5,2,2,2,67,303,3,1920249,,,,,,,323,
6,1,4,6,4,2,2,9,38,210,4,505697,,16,,1,,,,6
1,2,4,6,4,2,1,9,1,140,5,196072,2,,,1,9,,,
1,2,3,12,4,2,2,5,1,222,4,675570,,,5,1,,,361,
6,2,4,32,4,2,2,8,57,247,4,1756603,,,5,,1,,5,
8,2,4,6,5,2,2,9,67,312,3,243667,2,,,,,,53,
1,2,1,36,4,2,2,2,1,120,5,1988039,,23,3,,,,,2
1,2,3,37,4,2,2,5,1,128,5,2128774,,,,,,,,
1,2,4,6,4,2,1,9,1,212,4,302476,9,29,,,,,41,2
9,2,3,48,4,2,2,7,68,303,3,2914770,,,,,,,,
6,2,4,6,5,2,2,9,49,217,4,377340,2,23,4,1,,,,
1,2,1,25,5,2,2,1,1,138,5,1433064,,,,,,,,7
8,1,4,6,5,2,2,9,67,303,3,381843,,,1,,,,152,
6,2,1,25,4,2,2,1,43,207,4,1450738,2,,,1,,23,,
8,2,1,36,4,2,1,2,67,329,3,2058587,,34,1,1,2,,,
1,2,2,26,4,2,2,3,1,119,5,1537495,4,37,2,,6,,,
2,2,4,4,5,2,2,8,2,461,6,93667,,,,1,,28,,
1,1,4,53,4,2,1,9,1,139,5,3113124,,34,,,,,,
6,2,1,36,4,2,2,2,43,207,4,2085108,,,,,8,14,,
3,1,3,13,5,2,2,5,27,313,3,906661,,,,1,6,58,,
9,2,1,36,4,2,2,2,68,449,6,1941105,,16,,1,,,311,
1,2,4,8,4,2,2,8,1,301,7,566371,,,1,,,,246,
6,1,4,6,4,2,2,9,57,247,4,199714,,,,1,,25,,7
9,1,2,17,4,2,2,3,68,303,3,1089799,,55,,1,5,,148,
6,2,4,53,5,2,2,9,43,207,4,3091727,2,,,1,,19,368,
8,2,4,6,5,2,2,9,67,303,3,265663,,,4,1,,53,,
6,1,4,6,5,2,2,9,43,207,4,301864,3,,,,,,,
9,2,3,37,4,2,2,5,68,364,3,2166554,,42,,,,,,2
9,2,3,12,5,2,2,5,68,327,3,699033,4,,,,,,,
1,2,1,36,4,2,1,2,1,119,5,2036244,4,,1,,9,9,,
9,1,1,36,4,2,2,2,68,363,3,1966780,,19,2,,,,,
6,1,4,6,4,2,1,9,56,242,4,399500,9,1,,,,,,
9,2,3,12,4,2,2,5,68,373,3,744713,,2,,1,,,459,4
6,2,3,24,5,2,2,5,57,247,4,1362332,,,,1,,,,2
8,2,4,6,5,2,1,9,67,303,3,447799,,,4,,,,,
6,2,4,53,4,2,2,9,45,233,4,3101882,,55,,1,,,126,2
6,1,4,15,5,2,2,9,45,233,4,957422,,,,1,,,,
8,2,4,32,4,2,2,8,67,303,3,1756611,,,3,,,,207,
1,1,4,6,5,2,2,9,1,120,5,408287,,,,1,5,19,,
1,2,4,6,4,2,2,9,1,210,4,336997,1,41,2,,,,,
1,2,4,6,4,2,2,9,1,362,3,225435,,,2,,,,301,
9,1,4,6,4,2,2,9,68,215,4,183896,9,72,,,6,,,
1,1,2,17,5,2,2,3,1,128,5,1010210,,,,,,,78,8
6,1,3,48,4,2,2,7,39,202,4,2828482,,,1,1,,,332,6
9,2,4,6,5,2,2,9,68,303,3,337698,1,,,,,,,
1,1,1,36,4,2,2,2,1,163,5,2036753,,,5,,,,,4
9,1,3,48,4,2,2,7,68,303,3,2725782,,5,,,,,,
9,1,4,4,4,2,2,8,68,303,3,95952,,25,,,4,,140,
8,2,1,44,5,2,1,1,67,314,3,2558740,,,4,1,7,,,8
6,1,2,26,4,2,2,3,38,210,4,1573277,,47,,1,8,,,
8,1,4,6,4,2,2,9,67,303,3,370464,,49,,,,,,
1,1,4,6,4,2,1,9,1,119,5,447016,,,,1,6,,,
2,1,3,37,5,2,2,5,2,416,6,2181395,9,,,,,,,
9,1,2,20,4,2,1,4,68,303,3,1225178,,,5,,,,,4
6,2,2,20,4,2,2,4,43,240,4,1213127,,36,,1,,37,,6
6,1,3,12,4,2,2,5,57,247,4,695019,,,2,,,64,,
6,2,4,6,4,2,2,9,43,207,4,196819,,56,,,,44,40,
2,1,3,13,4,2,2,5,2,425,6,914351,,,2,1,,,456,
8,1,4,6,5,2,2,9,67,312,3,221843,,2,1,,1,,,
6,2,2,17,5,2,2,3,38,210,4,1091208,1,,,1,,,,
2,1,1,34,5,2,2,2,2,462,6,1802401,9,26,,1,7,65,,
6,1,3,51,5,2,2,5,38,210,4,3057650,,5,,,5,,,
6,2,4,6,4,2,2,9,45,233,4,302596,,,3,,,,,
2,2,4,4,5,2,2,8,2,416,6,74170,2,,,1,4,,,5
1,1,3,5,4,2,2,7,1,163,5,153017,,,,1,,,54,
1,2,1,25,4,2,2,1,1,128,5,1469581,,,3,1,,,,
9,1,1,42,4,2,2,2,68,364,3,2443220,9,23,,1,5,,,2
1,1,1,34,4,2,2,2,1,224,4,1872729,,56,,1,,,,
1,1,4,6,4,2,2,9,1,139,5,482619,9,,,1,5,,160,
6,1,2,20,4,2,2,4,38,210,4,1228146,9,26,,1,,,,2
1,1,4,6,4,2,1,9,1,212,4,197751,2,26,,1,6,54,,
6,2,3,51,4,2,2,5,49,217,4,3019872,4,55,1,,,,338,
7,2,4,15,5,2,1,9,66,512,8,956579,3,,,,1,,,
7,2,2,19,5,2,2,4,60,512,8,1185821,,,2,1,1,,,
6,2,3,45,4,2,2,5,49,217,4,2603445,1,,2,,3,,,
1,2,1,36,4,2,2,2,1,400,6,1938879,9,,,,,,,
9,2,3,13,4,2,1,5,68,364,3,865850,,,,,,42,444,
1,2,4,6,5,2,2,9,1,110,5,273666,3,47,1,,8,,,
2,2,1,36,5,2,1,2,2,339,3,2104618,,40,3,,4,,32,2
1,2,3,12,4,2,2,5,1,329,3,678769,,,,,,,,2
6,1,1,25,4,2,2,1,58,210,4,1429766,,9,,,,,,2
9,2,3,48,4,2,2,7,68,303,3,2731632,,16,,,4,,53,
9,2,4,6,4,2,2,9,68,303,3,476705,1,,,,,2,166,
9,2,1,36,4,2,2,2,68,327,3,2048780,,,1,1,,,,4
2,2,3,12,4,2,2,5,2,332,3,841740,,,,1,,56,,
9,1,3,37,5,2,2,5,68,362,3,2189096,9,,,,,,313,2
8,2,1,34,4,2,2,2,67,303,3,1874563,,,3,,,34,11,
6,2,3,48,4,2,1,7,57,247,4,2754134,,39,5,,,,,2
6,1,4,4,4,2,2,8,45,233,4,68450,,,,1,,,,
9,1,3,12,5,2,2,5,68,362,3,754365,4,39,,,7,,,
8,2,4,6,5,2,2,9,67,303,3,406833,3,,,,,50,,6
6,1,4,6,4,2,2,9,43,207,4,462548,,,1,,,,,
1,1,3,12,5,2,2,5,1,301,7,852052,,34,2,,,,,
6,2,3,13,5,2,2,5,57,247,4,879677,,,,1,7,,,
1,2,4,6,5,2,1,9,1,212,4,401080,,,,,,,,
8,2,3,48,4,2,2,7,67,303,3,2886012,,50,,,,24,,
1,2,1,36,4,2,2,2,1,370,3,1956987,,,,,,15,,6
2,1,1,34,4,2,2,2,2,332,3,1880489,,,2,,,,,
2,2,3,51,5,2,2,5,2,421,6,3045745,,,,,,,,7
8,1,3,48,4,2,2,7,67,373,3,2757587,,24,,,,,,
1,2,1,25,4,2,1,1,1,239,4,1407198,,,,,8,,149,
1,1,2,18,5,2,2,3,1,139,5,1127572,,,,,7,,,7
6,2,3,48,4,2,2,7,38,210,4,2879793,1,,,,7,67,137,
6,1,1,34,4,2,2,2,38,202,4,1850312,,,,,4,,511,2
9,2,1,34,5,2,2,2,68,364,3,1870344,,,,,,,149,
6,1,4,4,4,2,2,8,38,210,4,104796,2,,,,1,,,
1,1,3,12,4,2,2,5,1,364,3,788914,,,,,,,,
2,2,1,9,4,2,2,1,2,333,3,610089,3,30,,,,,341,
6,1,3,48,5,2,2,7,38,210,4,2872633,4,,4,1,,2,149,
6,2,3,24,4,2,2,5,57,247,4,1360789,9,,1,,2,,,
8,2,3,47,5,2,2,6,67,303,3,2646845,,34,,,,,105,
6,1,4,6,4,2,2,9,43,247,4,425404,,,1,,,,,
1,2,1,34,5,2,2,2,1,468,6,1883714,,72,2,,,,,4
6,2,3,12,5,2,2,5,38,210,4,804538,,,,,,,,
1,1,4,6,4,2,2,9,1,138,5,326754,,72,1,1,,,,1
9,2,1,34,4,2,2,2,68,365,3,1831939,,33,5,,5,,303,
6,2,1,36,5,2,2,2,38,210,4,1921822,,,,1,9,47,,1
1,2,3,47,4,2,2,6,1,110,5,2680489,,,,,4,50,,
8,1,2,17,5,2,1,3,67,303,3,1032656,,,,,9,,,
6,1,4,6,5,2,2,9,43,207,4,242931,,21,,,,,13,
6,1,4,8,4,2,2,8,43,226,4,593539,,,,,,,159,
8,1,4,8,5,2,2,8,67,303,3,556364,,,4,,,6,,
8,1,4,6,4,2,1,9,67,303,3,223360,,,,1,2,,508,
2,1,2,39,4,2,2,3,2,448,6,2285733,4,,,1,,,,2
1,1,3,12,4,2,2,5,1,364,3,812496,,,2,,6,,363,4
8,2,3,5,5,2,2,7,67,303,3,137118,9,48,,,6,,338,8
6,2,1,36,5,2,2,2,43,207,4,1942607,9,,,1,,67,212,
1,1,3,51,5,2,2,5,1,138,5,3002307,,,,1,,23,,
9,1,3,13,5,2,2,5,68,303,3,917801,2,,,,6,,,
8,1,4,6,5,2,2,9,67,303,3,338210,,38,,1,,,316,2
1,2,1,36,4,2,2,2,1,165,5,2013725,9,,,,,,,3
6,1,4,6,4,2,2,9,45,233,4,437998,,,2,1,,,,
9,1,3,12,4,2,2,5,68,361,3,752749,,41,,1,5,,,
6,2,4,6,4,2,2,9,57,233,4,512690,2,,,,,,248,
9,2,3,48,5,2,2,7,68,303,3,2770350,2,,,1,3,37,,
1,1,1,34,5,2,2,2,1,211,4,1869083,,,2,,2,,,
1,1,3,51,4,2,2,5,1,128,5,3014017,1,24,,,,,,
9,1,3,47,5,2,2,6,68,370,3,2636665,9,,4,,,,,
8,1,4,6,4,2,2,9,67,303,3,503157,,55,,,,10,,6
6,2,4,6,4,2,2,9,54,231,4,468798,,51,,,,,,5
6,1,1,34,4,2,2,2,38,210,4,1852927,,,3,,7,,127,1
6,2,1,34,4,2,2,2,38,210,4,1871506,,53,,1,,46,,3
1,1,4,6,5,2,2,9,1,128,5,189041,,,1,1,,9,,6
