RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
6,2,9,6,4,1,2,9,48,205,4,237098
9,1,4,6,4,1,2,9,27,313,3,339883
6,1,1,22,4,2,2,9,55,233,4,220884
9,2,3,22,4,2,2,7,68,303,4,2910201
9,2,3,12,4,1,2,5,1,21,2,660368
1,1,9,51,4,2,2,5,10,316,3,3054233
8,2,1,21,1,2,2,2,67,364,3,1839793
8,1,2,48,5,2,2,7,67,303,6,2953441
9,1,3,27,1,1,2,5,68,327,3,774889
9,1,2,17,1,1,2,3,38,210,4,1030973
2,1,3,36,4,2,2,2,2,338,7,1982538
1,1,1,34,5,2,2,2,2,31,3,1873419
1,1,1,36,5,2,2,2,27,116,5,1958127
8,2,4,15,4,2,2,9,42,104,1,3110959
2,2,2,6,5,1,2,9,67,235,7,359884
9,1,3,23,4,2,2,5,68,166,3,3076461
8,2,4,53,5,1,2,9,12,303,3,3153977
6,2,3,22,4,1,2,7,18,168,4,1312581
8,1,1,36,5,2,2,2,67,323,3,1920249
6,1,4,16,4,1,2,9,38,210,6,505697
9,2,2,6,4,1,1,9,1,140,5,196072
1,2,3,12,5,1,2,5,1,361,4,675570
1,2,4,32,5,2,2,8,57,5,4,1756603
8,2,2,6,5,2,2,9,67,53,3,243667
1,2,1,23,3,2,2,2,1,120,2,1988039
1,2,3,37,4,2,2,5,1,128,5,2128774
1,2,9,29,4,2,1,9,1,41,2,302476
9,2,3,48,4,2,2,7,68,303,3,2914770
6,2,2,23,4,1,2,9,49,217,4,377340
1,2,1,25,5,2,2,1,1,138,7,1433064
8,1,4,6,1,2,2,9,67,152,3,381843
6,2,2,25,4,1,2,1,23,207,4,1450738
2,2,1,34,1,1,1,2,67,329,3,2058587
6,2,4,37,2,2,2,3,1,119,5,1537495
2,2,4,4,5,1,2,8,28,461,6,93667
1,1,4,34,4,2,1,9,1,139,5,3113124
8,2,1,36,4,2,2,2,14,207,4,2085108
6,1,3,13,5,1,2,5,58,313,3,906661
9,2,1,16,4,1,2,2,68,311,6,1941105
1,2,4,8,1,2,2,8,1,246,7,566371
6,1,4,6,4,1,2,9,25,247,7,199714
5,1,2,55,4,1,2,3,68,148,3,1089799
6,2,2,53,5,1,2,9,19,368,4,3091727
8,2,4,6,4,1,2,9,53,303,3,265663
6,1,3,6,5,2,2,9,43,207,4,301864
9,2,3,42,4,2,2,5,68,364,2,2166554
9,2,4,12,5,2,2,5,68,327,3,699033
9,2,4,36,1,2,1,2,9,119,5,2036244
9,1,1,19,2,2,2,2,68,363,3,1966780
6,1,9,1,4,2,1,9,56,242,4,399500
9,2,3,2,4,1,2,5,68,459,4,744713
6,2,3,24,5,1,2,5,57,247,2,1362332
8,2,4,6,4,2,1,9,67,303,3,447799
6,2,4,55,4,1,2,9,45,126,2,3101882
6,1,4,15,5,1,2,9,45,233,4,957422
8,2,4,32,3,2,2,8,67,207,3,1756611
5,1,4,6,5,1,2,9,19,120,5,408287
1,2,1,41,2,2,2,9,1,210,4,336997
1,2,4,6,2,2,2,9,1,301,3,225435
6,1,9,72,4,2,2,9,68,215,4,183896
1,1,2,17,5,2,2,3,1,78,8,1010210
6,1,3,48,1,1,2,7,39,332,6,2828482
9,2,1,6,5,2,2,9,68,303,3,337698
1,1,1,36,5,2,2,2,1,163,4,2036753
9,1,3,5,4,2,2,7,68,303,3,2725782
4,1,4,25,4,2,2,8,68,140,3,95952
7,2,1,44,4,1,1,1,67,314,8,2558740
8,1,2,47,4,1,2,3,38,210,4,1573277
8,1,4,49,4,2,2,9,67,303,3,370464
6,1,4,6,4,1,1,9,1,119,5,447016
2,1,9,37,5,2,2,5,2,416,6,2181395
9,1,2,20,5,2,1,4,68,303,4,1225178
6,2,2,36,4,1,2,4,37,240,6,1213127
6,1,3,12,2,2,2,5,64,247,4,695019
6,2,4,56,4,2,2,9,44,40,4,196819
2,1,3,13,2,1,2,5,2,456,6,914351
1,1,4,2,1,2,2,9,67,312,3,221843
6,2,1,17,5,1,2,3,38,210,4,1091208
7,1,9,26,5,1,2,2,65,462,6,1802401
5,1,3,5,5,2,2,5,38,210,4,3057650
6,2,4,6,3,2,2,9,45,233,4,302596
4,2,2,4,5,1,2,8,2,416,5,74170
1,1,3,5,4,1,2,7,1,54,5,153017
1,2,1,25,3,1,2,1,1,128,5,1469581
5,1,9,23,4,1,2,2,68,364,2,2443220
1,1,1,56,4,1,2,2,1,224,4,1872729
5,1,9,6,4,1,2,9,1,160,5,482619
6,1,9,26,4,1,2,4,38,210,2,1228146
6,1,2,26,4,1,1,9,54,212,4,197751
6,2,4,55,1,2,2,5,49,338,4,3019872
1,2,3,15,5,2,1,9,66,512,8,956579
1,2,2,19,2,1,2,4,60,512,8,1185821
3,2,1,45,2,2,2,5,49,217,4,2603445
1,2,9,36,4,2,2,2,1,400,6,1938879
9,2,3,13,4,2,1,5,42,444,3,865850
8,2,3,47,1,2,2,9,1,110,5,273666
4,2,1,40,3,2,1,2,2,32,2,2104618
1,2,3,12,4,2,2,5,1,329,2,678769
6,1,1,9,4,2,2,1,58,210,2,1429766
4,2,3,16,4,2,2,7,68,53,3,2731632
9,2,1,6,4,2,2,9,2,166,3,476705
9,2,1,36,1,1,2,2,68,327,4,2048780
2,2,3,12,4,1,2,5,56,332,3,841740
9,1,9,37,5,2,2,5,68,313,2,2189096
8,2,1,34,3,2,2,2,34,11,3,1874563
6,2,3,39,5,2,1,7,57,247,2,2754134
6,1,4,4,4,1,2,8,45,233,4,68450
7,1,4,39,5,2,2,5,68,362,3,754365
8,2,3,6,5,2,2,9,50,303,6,406833
6,1,4,6,1,2,2,9,43,207,4,462548
1,1,3,34,2,2,2,5,1,301,7,852052
7,2,3,13,5,1,2,5,57,247,4,879677
1,2,4,6,5,2,1,9,1,212,4,401080
8,2,3,50,4,2,2,7,24,303,3,2886012
1,2,1,36,4,2,2,2,15,370,6,1956987
2,1,1,34,2,2,2,2,2,332,3,1880489
2,2,3,51,5,2,2,5,2,421,7,3045745
8,1,3,24,4,2,2,7,67,373,3,2757587
8,2,1,25,4,2,1,1,1,149,4,1407198
7,1,2,18,5,2,2,3,1,139,7,1127572
7,2,1,48,4,2,2,7,67,137,4,2879793
4,1,1,34,4,2,2,2,38,511,2,1850312
9,2,1,34,5,2,2,2,68,149,3,1870344
1,1,2,4,4,2,2,8,38,210,4,104796
1,1,3,12,4,2,2,5,1,364,3,788914
2,2,3,30,4,2,2,1,2,341,3,610089
6,1,4,48,4,1,2,7,2,149,4,2872633
2,2,9,24,1,2,2,5,57,247,4,1360789
8,2,3,34,5,2,2,6,67,105,3,2646845
6,1,4,6,1,2,2,9,43,247,4,425404
1,2,1,72,2,2,2,2,1,468,4,1883714
6,2,3,12,5,2,2,5,38,210,4,804538
1,1,4,72,1,1,2,9,1,138,1,326754
5,2,1,33,5,2,2,2,68,303,3,1831939
9,2,1,36,5,1,2,2,47,210,1,1921822
4,2,3,47,4,2,2,6,50,110,5,2680489
9,1,2,17,5,2,1,3,67,303,3,1032656
6,1,4,21,5,2,2,9,43,13,4,242931
6,1,4,8,4,2,2,8,43,159,4,593539
8,1,4,8,4,2,2,8,6,303,3,556364
2,1,4,6,4,1,1,9,67,508,3,223360
2,1,4,39,4,1,2,3,2,448,2,2285733
6,1,3,12,2,2,2,5,1,363,4,812496
6,2,9,48,5,2,2,7,67,338,8,137118
6,2,9,36,5,1,2,2,67,212,4,1942607
1,1,3,51,5,1,2,5,23,138,5,3002307
