ID,RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
0,9,2,3,450.0,1,1.0,1,1,6.0,16.0,2,4.0
1,1,1,3,0.0,1,1.0,1,1,4.0,12.0,2,4.0
2,2,1,3,1000.0,1,1.0,1,1,6.0,16.0,2,4.0
3,1,1,3,0.0,1,,1,1,3.0,13.0,2,4.0
4,1,2,3,0.0,1,,1,1,6.0,6.0,1,4.0
5,1,1,3,0.0,1,,1,1,6.0,16.0,2,4.0
6,1,1,3,9600.0,1,,1,1,6.0,16.0,2,4.0
7,1,1,3,3300.0,1,,1,1,4.0,16.0,1,4.0
8,2,1,3,650.0,1,,1,1,6.0,16.0,1,4.0
9,9,2,3,0.0,1,,1,1,6.0,16.0,2,4.0
10,1,2,3,1500.0,1,,1,1,3.0,1.0,1,4.0
11,1,1,3,0.0,1,,1,1,6.0,17.0,2,4.0
12,1,1,3,15800.0,1,1.0,1,1,6.0,19.0,2,4.0
13,1,2,3,26500.0,1,,1,1,3.0,16.0,1,4.0
14,2,1,3,0.0,1,,1,1,6.0,16.0,2,4.0
15,1,1,3,34000.0,1,2.0,1,1,6.0,22.0,2,2.0
16,1,1,3,18000.0,1,,1,1,4.0,16.0,2,4.0
17,2,1,3,0.0,1,,1,1,6.0,11.0,2,2.0
18,2,1,3,9600.0,1,,1,1,6.0,12.0,1,4.0
19,1,2,3,8000.0,1,,1,1,6.0,20.0,1,4.0
20,1,1,3,24000.0,1,,1,1,4.0,16.0,1,4.0
21,1,1,3,12000.0,1,1.0,1,1,6.0,20.0,2,4.0
22,2,1,3,10400.0,1,1.0,1,1,6.0,19.0,2,4.0
23,2,1,3,9500.0,1,,1,1,6.0,17.0,1,4.0
24,1,2,3,5000.0,1,1.0,1,1,6.0,16.0,1,4.0
25,1,2,3,0.0,1,,1,1,3.0,16.0,1,4.0
26,1,1,3,16000.0,1,5.0,1,1,6.0,18.0,2,1.0
27,1,1,3,5500.0,1,1.0,1,1,6.0,16.0,1,4.0
28,1,1,3,0.0,1,,1,1,6.0,16.0,2,4.0
29,2,1,3,18000.0,1,,1,1,3.0,14.0,1,4.0
30,1,1,3,0.0,1,,1,1,6.0,18.0,1,4.0
31,1,2,3,6900.0,1,,1,1,6.0,16.0,1,4.0
32,1,1,3,4800.0,1,1.0,1,1,6.0,18.0,2,4.0
33,1,2,3,24000.0,1,3.0,1,1,1.0,16.0,2,4.0
34,1,2,3,12600.0,1,4.0,1,1,6.0,21.0,2,4.0
35,1,1,3,27400.0,1,,1,1,1.0,16.0,2,4.0
36,1,1,3,43800.0,1,5.0,1,1,6.0,18.0,2,1.0
37,1,1,3,415800.0,1,1.0,1,1,1.0,13.0,2,4.0
38,1,1,3,45000.0,1,1.0,1,1,1.0,16.0,2,4.0
39,1,1,3,85000.0,1,1.0,1,1,1.0,21.0,2,4.0
40,1,2,3,9600.0,1,,1,1,3.0,12.0,2,4.0
41,1,1,3,12060.0,1,6.0,1,1,1.0,16.0,2,4.0
42,1,2,3,,1,,1,1,,6.0,2,
43,2,1,3,12300.0,1,1.0,1,1,6.0,16.0,2,4.0
44,1,1,3,13800.0,1,1.0,1,1,1.0,17.0,2,4.0
45,1,2,3,0.0,1,,1,1,1.0,1.0,1,4.0
46,1,1,3,20400.0,1,,1,1,1.0,16.0,1,3.0
47,2,1,3,36000.0,1,1.0,1,1,1.0,16.0,2,4.0
48,1,2,3,,1,,1,1,,3.0,2,
49,1,1,3,0.0,1,9.0,1,1,4.0,16.0,2,4.0
50,2,2,3,8500.0,1,1.0,1,1,4.0,16.0,2,4.0
51,1,2,3,,1,,1,1,,1.0,2,
52,2,1,3,,1,,1,1,,10.0,1,
53,2,2,3,14900.0,1,1.0,1,1,4.0,16.0,1,4.0
54,1,2,3,,1,,1,1,,3.0,2,
55,1,1,3,100000.0,1,7.0,1,1,1.0,20.0,2,2.0
56,9,1,3,,1,,1,1,,5.0,2,
57,1,2,3,29600.0,1,1.0,1,1,6.0,18.0,2,4.0
58,1,2,3,77800.0,1,3.0,1,1,4.0,21.0,2,4.0
59,1,1,3,42000.0,1,,1,1,1.0,16.0,2,4.0
60,2,1,3,2000.0,1,1.0,1,1,6.0,16.0,2,4.0
61,1,1,3,8000.0,1,1.0,1,1,5.0,16.0,2,4.0
62,1,1,3,80000.0,1,6.0,1,1,1.0,19.0,2,4.0
63,1,2,3,95000.0,1,4.0,1,1,1.0,24.0,2,4.0
64,9,2,3,,1,,1,1,,4.0,2,
65,1,1,3,25400.0,1,1.0,4,2,1.0,11.0,2,4.0
66,1,2,3,110400.0,1,1.0,1,1,1.0,16.0,2,2.0
67,1,2,3,20000.0,1,1.0,1,1,1.0,17.0,2,4.0
68,1,1,3,,1,,1,1,,9.0,2,
69,1,1,3,20000.0,1,6.0,1,1,1.0,16.0,2,4.0
70,1,2,3,30000.0,1,1.0,1,1,1.0,18.0,2,4.0
71,2,1,3,,1,,1,1,,7.0,2,
72,1,2,3,55000.0,1,1.0,1,1,1.0,22.0,2,4.0
73,1,2,3,13000.0,1,1.0,1,1,5.0,12.0,1,3.0
74,1,1,3,68000.0,1,1.0,1,1,1.0,18.0,2,4.0
75,1,1,3,10000.0,1,1.0,1,1,6.0,20.0,2,4.0
76,1,1,3,,1,,1,1,,10.0,2,
77,1,1,3,144500.0,1,,1,1,1.0,21.0,2,2.0
78,1,1,3,305000.0,1,,1,1,1.0,21.0,2,2.0
79,2,1,3,40000.0,1,1.0,1,1,6.0,15.0,1,4.0
80,1,2,3,,1,,1,1,,10.0,2,
81,1,1,3,26500.0,1,,1,1,1.0,21.0,1,2.0
82,2,2,3,,1,,1,1,,,2,
83,2,2,3,42700.0,1,1.0,1,1,4.0,19.0,2,4.0
84,9,2,3,9400.0,1,,1,1,3.0,12.0,2,4.0
85,2,1,3,80000.0,1,3.0,1,1,1.0,18.0,2,2.0
86,1,2,3,3200.0,1,1.0,1,1,6.0,16.0,1,4.0
87,9,2,3,,1,,3,1,,2.0,2,
88,1,2,3,,1,,1,1,,10.0,2,
89,1,1,3,70000.0,1,3.0,1,1,4.0,16.0,2,4.0
90,9,1,3,,1,,1,1,,2.0,2,
91,1,2,3,,1,,1,1,,1.0,2,
92,1,2,3,7300.0,1,,1,1,1.0,16.0,2,4.0
93,2,2,3,20000.0,1,2.0,1,1,1.0,21.0,2,4.0
94,1,2,3,25130.0,1,,1,1,4.0,18.0,2,4.0
95,1,2,3,18200.0,1,1.0,1,1,6.0,16.0,2,4.0
96,1,1,3,,1,,1,1,,6.0,2,
97,1,2,3,36000.0,1,7.0,1,1,1.0,21.0,2,4.0
98,1,2,3,,1,,1,1,,9.0,2,
99,1,2,3,39100.0,1,4.0,1,1,1.0,21.0,2,4.0
100,1,2,3,8000.0,1,,1,1,6.0,18.0,1,4.0
101,2,1,3,2800.0,1,1.0,1,1,6.0,16.0,2,4.0
102,1,1,3,25000.0,1,1.0,1,1,6.0,21.0,2,4.0
103,1,2,3,10000.0,1,,1,1,3.0,17.0,2,4.0
104,2,1,3,50000.0,1,2.0,1,1,4.0,16.0,2,4.0
105,1,1,3,,1,,1,1,,8.0,2,
106,1,1,3,48000.0,1,1.0,1,1,4.0,16.0,2,3.0
107,1,1,3,11000.0,1,1.0,1,1,6.0,16.0,2,4.0
108,1,1,3,115000.0,1,5.0,1,1,4.0,24.0,1,4.0
109,1,1,3,150000.0,1,1.0,1,1,1.0,21.0,2,4.0
110,1,1,3,70000.0,1,3.0,1,1,1.0,22.0,2,4.0
111,1,2,3,,1,,1,1,,,2,
112,1,2,3,13200.0,1,,1,1,6.0,16.0,1,3.0
113,1,1,3,12200.0,1,1.0,1,1,1.0,13.0,1,4.0
114,1,2,3,,1,,1,1,,10.0,2,
115,1,2,3,0.0,1,,1,1,1.0,18.0,2,4.0
116,1,1,3,60000.0,1,1.0,1,1,1.0,10.0,1,4.0
117,1,1,3,,1,,1,1,,2.0,2,
118,2,1,3,0.0,1,5.0,1,1,6.0,16.0,2,2.0
119,9,1,3,30000.0,1,1.0,1,1,1.0,12.0,1,4.0
120,1,2,3,,1,,1,1,,8.0,2,
