Checking Status,Duration,Credit Amount,Present Employment Tenure,Installment Rate,Residence Tenure,Age,Existing credit,Job type,Number of dependents,Has phone,Foreign,target,Credit History_A31,Credit History_A32,Credit History_A33,Credit History_A34,Purpose_A41,Purpose_A410,Purpose_A42,Purpose_A43,Purpose_A44,Purpose_A45,Purpose_A46,Purpose_A48,Purpose_A49,Savings Status_A62,Savings Status_A63,Savings Status_A64,Savings Status_A65,Sex/Marital status_A92,Sex/Marital status_A93,Sex/Marital status_A94,Guarantors_A102,Guarantors_A103,Property_A122,Property_A123,Property_A124,Other installment plans_A142,Other installment plans_A143,Rent or own housing_A152,Rent or own housing_A153
0.0,6,1169,4.0,4,4,67,2,2.0,1,1.0,0.0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False
1.0,48,5951,2.0,2,2,22,1,2.0,1,0.0,0.0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
3.0,12,2096,3.0,2,3,49,1,1.0,2,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
0.0,42,7882,3.0,2,4,45,1,2.0,2,0.0,0.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True
0.0,24,4870,2.0,3,4,53,2,2.0,2,0.0,0.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
3.0,36,9055,2.0,2,4,35,1,1.0,2,1.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True
3.0,24,2835,4.0,3,4,53,1,2.0,1,0.0,0.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False
1.0,36,6948,2.0,2,2,35,1,3.0,1,1.0,0.0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
3.0,12,3059,3.0,2,4,61,1,1.0,1,0.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
1.0,30,5234,0.0,4,2,28,2,3.0,1,0.0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
1.0,12,1295,1.0,3,1,25,1,2.0,1,0.0,0.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0.0,48,4308,1.0,3,4,24,1,2.0,1,0.0,0.0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
1.0,12,1567,2.0,1,1,22,1,2.0,1,1.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
0.0,24,1199,4.0,4,4,60,2,1.0,1,0.0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
0.0,15,1403,2.0,2,4,28,1,2.0,1,0.0,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0.0,24,1282,2.0,4,2,32,1,1.0,1,0.0,0.0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
3.0,24,2424,4.0,4,4,53,2,2.0,1,0.0,0.0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False
0.0,30,8072,1.0,2,3,25,3,2.0,1,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1.0,24,12579,4.0,4,2,44,1,3.0,1,1.0,0.0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
3.0,24,3430,4.0,3,2,31,1,2.0,2,1.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
3.0,9,2134,2.0,4,4,48,3,2.0,1,1.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
0.0,6,2647,2.0,2,3,44,1,2.0,2,0.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.0,10,2241,1.0,1,3,48,2,1.0,2,0.0,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.0,12,1804,1.0,3,4,44,1,2.0,1,0.0,0.0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
3.0,10,2069,2.0,2,1,26,2,2.0,1,0.0,1.0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False
0.0,6,1374,2.0,1,2,36,1,1.0,1,1.0,0.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
3.0,6,426,4.0,4,4,39,1,1.0,1,0.0,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
2.0,12,409,2.0,3,3,42,2,2.0,1,0.0,0.0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
1.0,7,2415,2.0,3,2,34,1,2.0,1,0.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
0.0,60,6836,4.0,3,4,63,2,2.0,1,1.0,0.0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False
1.0,18,1913,1.0,3,3,36,1,2.0,1,1.0,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0.0,24,4020,2.0,2,2,27,1,2.0,1,0.0,0.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
1.0,18,5866,2.0,2,2,30,2,2.0,1,1.0,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
3.0,12,1264,4.0,4,4,57,1,1.0,1,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
2.0,12,1474,1.0,4,1,33,1,3.0,1,1.0,0.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1.0,45,4746,1.0,4,2,25,2,1.0,1,0.0,0.0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
3.0,48,6110,2.0,1,3,31,1,2.0,1,1.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2.0,18,2100,2.0,4,2,37,1,2.0,1,0.0,0.0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
2.0,10,1225,2.0,2,2,37,1,2.0,1,1.0,0.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
1.0,9,458,2.0,4,3,24,1,2.0,1,0.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
3.0,30,2333,4.0,4,2,30,1,3.0,1,0.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1.0,12,1158,2.0,3,1,26,1,2.0,1,1.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
1.0,18,6204,2.0,2,4,44,1,1.0,2,1.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
0.0,30,6187,3.0,1,4,24,2,2.0,1,0.0,0.0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0.0,48,6143,4.0,4,4,58,2,1.0,1,0.0,0.0,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
3.0,11,1393,1.0,4,4,35,2,3.0,1,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
3.0,36,2299,4.0,4,4,39,1,2.0,1,0.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
0.0,6,1352,0.0,1,2,23,1,0.0,1,1.0,0.0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
3.0,11,7228,2.0,1,4,39,2,1.0,1,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
3.0,12,2073,2.0,4,2,28,1,2.0,1,0.0,0.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
1.0,24,2333,1.0,4,2,29,1,1.0,1,0.0,0.0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
