RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID,REGION_dirty,ST_dirty,CIT_dirty,NATIVITY_dirty,RAC1P_dirty,RAC2P_dirty,POBP_dirty,WAOB_dirty
1,1,1,36,5,2,2,2,1,120,5,2048197,,,1,,,,372,7
1,1,3,1,4,2,2,6,1,110,5,27478,,33,,,,7,,
6,1,3,13,4,2,2,5,57,247,4,946849,,,,,,,,
9,2,4,6,4,2,2,9,68,303,3,327258,,,5,,,,,
2,1,2,27,4,2,2,4,2,448,6,1591135,,,2,,,,33,
1,1,1,36,4,2,1,2,1,120,5,2042215,,,,,,,,
1,1,3,5,5,2,1,7,1,303,3,158724,,,3,,,14,,
6,2,3,10,4,2,2,5,49,217,4,644907,,,,,,,,
6,2,4,6,5,2,2,9,43,207,4,504650,3,50,,,,,,
6,2,4,6,4,2,2,9,38,210,4,498455,,,,,,,,7
1,1,1,25,4,2,2,1,1,100,5,1445355,,2,,,,40,,
2,1,1,36,5,2,2,2,2,332,3,1997995,,37,,,,,,
8,1,4,6,5,2,2,9,67,303,3,301615,,,,1,,,467,8
8,2,4,32,4,2,1,8,67,301,7,1783879,9,12,,,,,,3
2,2,3,12,4,2,1,5,2,333,3,800208,,,,,,,315,1
6,1,4,6,4,2,1,9,57,247,4,243049,,,,,,,,8
6,1,4,6,4,2,2,9,45,233,4,269838,,,,,,,,3
8,1,4,6,5,2,2,9,67,303,3,336930,,,,,,,,
8,2,4,32,5,2,1,8,67,303,3,1763573,9,,,,,,,
6,2,1,34,5,2,2,2,55,238,4,1834112,4,,,,,,,
6,2,4,2,4,2,2,9,50,223,4,51489,,,,,,,,
6,2,4,6,5,2,2,9,43,207,4,340970,,,,,,,,
1,2,4,6,5,2,1,9,1,224,4,206428,,15,,,6,,,
6,2,1,34,5,2,2,2,38,217,4,1840600,,,,,,,,
9,1,3,13,4,2,1,5,68,313,3,906082,1,,,,,,,
8,2,4,6,5,2,2,9,67,303,3,491664,,,1,1,,,,
9,2,3,48,5,2,2,7,68,303,3,2777976,,25,,,,,,
6,2,4,53,4,2,2,9,42,206,4,3114955,,,,1,,,440,
8,1,4,6,5,2,2,9,67,313,3,500556,,,,,2,,,
8,2,3,48,4,2,2,7,67,303,3,2775174,,,,,,,,
1,1,1,36,5,2,2,2,1,139,5,2013661,,,,,,,,
6,2,1,36,4,2,2,2,53,233,4,2083095,,,,,,,,
5,2,4,6,4,2,2,9,37,303,3,190812,1,,,,,,,5
9,1,1,34,4,2,2,2,68,312,3,1865083,,,,,,54,8,
1,1,1,36,4,2,2,2,1,163,5,2080620,,,,,,,132,
6,2,4,6,4,2,2,9,49,217,4,496600,,56,,,4,,,
6,1,3,13,5,2,2,5,57,247,4,869310,,,,,,,,
6,1,4,6,4,2,2,9,50,223,4,469509,,,,,,53,329,
6,2,2,17,4,2,2,3,43,207,4,1075315,,,2,,2,47,,
2,2,3,12,4,2,2,5,2,332,3,800527,,,,,5,,,
1,1,2,39,4,2,2,3,1,150,5,2303146,,,,,8,,,
9,2,2,29,4,2,1,4,68,313,3,1662310,,,,1,,,,
6,1,1,36,4,2,1,2,45,233,4,2005768,,,,,,,,
6,1,4,6,5,2,1,9,57,247,4,220330,,,,1,,,,
6,2,4,6,4,2,2,9,54,233,4,511763,,,,,,59,,
6,1,3,12,4,2,2,5,59,215,4,753152,,,1,,,,,
6,2,2,17,5,2,2,3,45,233,4,1031783,3,,,,,,,
6,2,1,36,4,2,2,2,49,207,4,2013291,,,,,1,,,
8,1,4,6,5,2,2,9,67,303,3,544603,,,,,,,,1
1,2,3,51,5,2,2,5,1,163,5,3070474,,,,,,,,4
1,1,2,27,4,2,1,4,1,213,4,1593840,1,,,,7,,,
6,2,4,6,5,2,2,9,48,215,4,530345,,,2,,,,,
9,1,4,6,4,2,2,9,68,303,3,448523,,,,1,,,247,
6,2,4,6,4,2,1,9,53,427,6,161761,,5,,,,,224,
8,1,4,6,5,2,2,9,67,303,3,421727,,,4,1,,,,
2,1,3,12,4,2,2,5,2,332,3,809598,,,,,,15,,
1,1,4,6,4,2,2,9,1,303,3,254529,,,,,,,169,
9,1,3,47,4,2,2,6,68,303,3,2640822,,,,1,,50,148,
9,1,3,12,4,2,2,5,68,360,3,729668,,,,,,,,
8,1,4,6,5,2,2,9,67,303,3,383019,2,,,,,,,6
2,1,1,36,4,2,2,2,2,139,5,1997924,,23,,,,,,
1,2,4,6,4,2,2,9,1,414,6,258249,2,,,1,,,,
8,1,3,48,5,2,2,7,67,303,3,2719168,2,,,,,,,
