RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
1,1,1,36,1,2,2,2,1,372,7,2048197
1,1,3,33,4,2,2,6,7,110,5,27478
6,1,3,13,4,2,2,5,57,247,4,946849
9,2,4,6,5,2,2,9,68,303,3,327258
2,1,2,27,2,2,2,4,2,33,6,1591135
1,1,1,36,4,2,1,2,1,120,5,2042215
1,1,3,5,3,2,1,7,14,303,3,158724
6,2,3,10,4,2,2,5,49,217,4,644907
6,2,3,50,5,2,2,9,43,207,4,504650
6,2,4,6,4,2,2,9,38,210,7,498455
1,1,1,2,4,2,2,1,40,100,5,1445355
2,1,1,37,5,2,2,2,2,332,3,1997995
8,1,4,6,5,1,2,9,67,467,8,301615
8,2,9,12,4,2,1,8,67,301,3,1783879
2,2,3,12,4,2,1,5,2,315,1,800208
6,1,4,6,4,2,1,9,57,247,8,243049
6,1,4,6,4,2,2,9,45,233,3,269838
8,1,4,6,5,2,2,9,67,303,3,336930
8,2,9,32,5,2,1,8,67,303,3,1763573
6,2,4,34,5,2,2,2,55,238,4,1834112
6,2,4,2,4,2,2,9,50,223,4,51489
6,2,4,6,5,2,2,9,43,207,4,340970
6,2,4,15,5,2,1,9,1,224,4,206428
6,2,1,34,5,2,2,2,38,217,4,1840600
9,1,1,13,4,2,1,5,68,313,3,906082
8,2,4,6,1,1,2,9,67,303,3,491664
9,2,3,25,5,2,2,7,68,303,3,2777976
6,2,4,53,4,1,2,9,42,440,4,3114955
2,1,4,6,5,2,2,9,67,313,3,500556
8,2,3,48,4,2,2,7,67,303,3,2775174
1,1,1,36,5,2,2,2,1,139,5,2013661
6,2,1,36,4,2,2,2,53,233,4,2083095
5,2,1,6,4,2,2,9,37,303,5,190812
9,1,1,34,4,2,2,2,54,8,3,1865083
1,1,1,36,4,2,2,2,1,132,5,2080620
4,2,4,56,4,2,2,9,49,217,4,496600
6,1,3,13,5,2,2,5,57,247,4,869310
6,1,4,6,4,2,2,9,53,329,4,469509
2,2,2,17,2,2,2,3,47,207,4,1075315
5,2,3,12,4,2,2,5,2,332,3,800527
8,1,2,39,4,2,2,3,1,150,5,2303146
9,2,2,29,4,1,1,4,68,313,3,1662310
6,1,1,36,4,2,1,2,45,233,4,2005768
6,1,4,6,5,1,1,9,57,247,4,220330
6,2,4,6,4,2,2,9,59,233,4,511763
6,1,3,12,1,2,2,5,59,215,4,753152
6,2,3,17,5,2,2,3,45,233,4,1031783
1,2,1,36,4,2,2,2,49,207,4,2013291
8,1,4,6,5,2,2,9,67,303,1,544603
1,2,3,51,5,2,2,5,1,163,4,3070474
7,1,1,27,4,2,1,4,1,213,4,1593840
6,2,4,6,2,2,2,9,48,215,4,530345
9,1,4,6,4,1,2,9,68,247,3,448523
6,2,4,5,4,2,1,9,53,224,6,161761
8,1,4,6,4,1,2,9,67,303,3,421727
2,1,3,12,4,2,2,5,15,332,3,809598
1,1,4,6,4,2,2,9,1,169,3,254529
9,1,3,47,4,1,2,6,50,148,3,2640822
9,1,3,12,4,2,2,5,68,360,3,729668
8,1,2,6,5,2,2,9,67,303,6,383019
2,1,1,23,4,2,2,2,2,139,5,1997924
1,2,2,6,4,1,2,9,1,414,6,258249
8,1,2,48,5,2,2,7,67,303,3,2719168
8,2,3,48,5,2,2,7,67,312,3,2931291
9,2,1,36,4,2,2,2,68,373,3,2071806
1,2,4,6,3,2,2,9,1,164,5,513042
9,2,3,48,5,2,2,7,68,303,3,2787040
8,1,3,48,5,2,2,7,67,303,3,2707254
1,1,4,6,4,2,2,9,62,152,4,333237
6,2,3,12,5,2,2,5,39,202,4,773257
8,2,1,36,5,2,2,2,67,329,3,2007048
5,2,1,44,4,2,2,1,68,370,3,2555518
1,2,1,36,5,2,2,2,1,128,5,1997684
6,1,4,6,4,2,2,9,38,210,4,439213
9,2,1,50,4,2,2,1,3,425,6,2991050
6,1,4,6,3,2,2,9,38,453,6,328840
9,2,3,12,5,2,2,5,68,373,3,814111
1,1,3,18,5,2,2,3,1,315,7,1135114
2,1,2,20,4,2,2,4,2,427,6,1220073
9,2,1,25,5,2,2,1,37,238,4,1444126
1,1,3,48,1,2,2,7,1,163,5,2715719
9,2,1,1,5,2,2,2,68,314,3,1979114
6,1,1,47,4,2,2,5,57,247,4,934513
9,2,4,12,5,2,2,5,68,360,1,787793
1,2,3,47,4,2,2,6,1,301,7,2630718
9,1,1,13,4,2,2,5,68,303,3,2212026
9,1,3,48,5,2,2,7,68,303,3,2753588
4,2,4,6,4,2,2,9,68,508,8,247808
2,1,1,46,4,2,2,2,67,312,6,1835749
8,2,4,4,4,2,2,8,67,303,6,72459
8,2,4,6,4,2,2,9,67,303,3,425845
6,2,1,2,5,2,1,2,39,202,4,1942287
1,2,4,6,5,2,2,9,1,138,2,241371
5,2,3,48,5,2,2,7,37,49,3,2886152
6,2,1,34,4,2,2,2,2,233,8,1823693
8,1,4,6,5,1,2,9,67,303,1,313185
6,2,2,17,4,1,2,3,45,233,4,1083851
1,1,1,44,4,2,2,1,1,515,8,2559533
8,1,4,6,4,1,2,9,67,303,3,259292
6,1,1,36,4,2,2,2,43,207,4,2017323
8,2,4,36,5,2,2,2,53,303,3,2051809
1,1,1,36,4,2,1,2,1,120,5,2022538
1,2,4,23,5,1,2,9,66,214,4,2418306
9,2,1,51,5,2,2,5,68,314,4,3032644
6,2,4,32,3,2,2,8,52,228,4,1772393
9,1,9,37,4,2,1,5,19,327,3,2179813
6,1,1,42,4,2,2,2,38,210,4,2444724
8,2,3,48,5,2,2,7,1,303,3,2951944
1,2,1,54,5,2,2,1,1,214,4,1471263
8,1,3,37,5,2,2,5,67,303,3,2152382
1,2,4,6,4,2,2,9,1,303,3,351004
3,2,9,6,4,2,2,9,45,233,4,297232
1,2,3,51,5,2,2,5,1,303,3,3066406
1,2,2,17,4,2,2,3,1,128,5,1071440
6,2,4,6,4,2,2,9,38,210,4,192048
1,1,3,48,1,2,2,7,1,303,3,2884473
1,1,1,36,4,2,2,2,1,139,5,2052565
9,2,1,34,4,2,2,2,64,365,3,1847209
4,2,3,48,5,2,2,7,68,303,3,2726875
6,2,9,8,4,2,2,8,41,205,4,583040
1,2,1,42,4,2,2,2,58,163,5,2431833
8,2,1,34,5,2,2,2,67,303,3,1804087
6,1,3,34,4,2,1,2,38,210,4,1859060
1,1,4,6,4,2,2,9,1,138,5,482653
6,1,4,6,4,2,2,9,60,231,4,420545
8,1,4,25,5,2,2,8,49,303,3,967066
1,2,9,12,4,2,2,5,1,110,5,721261
6,1,4,30,4,2,1,9,57,247,4,357599
8,1,4,1,4,1,1,8,67,303,3,1758288
6,1,3,48,4,2,2,7,45,200,4,2774261
1,2,3,45,5,2,1,5,1,102,2,2608493
1,2,9,6,4,2,2,9,1,212,4,258479
9,1,1,36,3,2,2,2,68,233,6,1976113
1,2,2,26,3,1,2,3,1,110,8,1521371
2,1,1,9,4,2,2,1,2,329,3,607362
6,2,4,6,4,2,2,9,43,207,8,285971
9,1,4,6,5,2,2,9,38,303,3,346161
6,2,4,6,4,2,2,9,57,247,1,520034
9,1,3,12,1,2,2,5,68,327,3,667455
6,2,3,24,5,2,2,5,2,440,6,1375113
2,2,1,32,4,2,2,2,2,407,6,2429507
1,1,1,34,4,2,2,2,1,138,7,1849725
6,1,1,6,4,2,2,9,45,512,4,189664
2,2,3,12,4,2,2,5,2,332,3,829712
6,2,3,6,4,2,2,9,49,116,8,485221
1,2,1,34,5,2,2,2,1,126,7,1851528
6,1,2,17,5,1,2,3,38,210,3,1091495
1,1,3,12,5,1,2,5,1,373,3,720830
1,1,4,6,4,2,2,9,1,301,7,442979
3,1,1,32,4,2,2,2,1,157,5,1871562
4,1,1,32,5,2,1,1,39,511,6,1421660
6,2,3,6,5,1,2,9,38,210,4,435813
1,2,4,6,4,2,2,9,1,212,4,289763
1,2,3,39,4,2,2,5,1,362,4,680327
6,2,1,36,5,2,2,2,38,209,4,1922224
2,2,1,36,4,2,1,2,2,440,6,2084570
6,2,3,48,4,2,2,7,43,108,6,2742468
7,2,1,34,5,2,2,2,1,109,3,1811871
6,1,4,6,4,2,2,9,57,247,4,340196
9,2,3,24,3,2,2,5,68,303,3,1395213
9,1,3,12,5,1,2,5,68,327,4,817091
6,2,1,40,4,1,1,2,58,246,4,2461030
6,1,3,12,4,2,2,5,38,210,4,849608
1,2,2,17,5,2,2,3,1,110,5,1058933
4,1,1,13,4,2,2,2,9,164,5,1962474
9,2,2,31,5,2,2,4,68,313,3,1752427
8,1,3,48,5,2,2,7,67,303,3,2762042
1,1,1,12,5,2,2,1,1,301,7,1793140
6,1,4,6,4,1,2,9,45,233,4,491712
1,2,2,19,5,2,2,4,1,301,4,1196075
4,2,1,36,5,2,2,2,43,207,4,1960703
9,2,3,18,4,1,2,5,68,313,8,829332
4,1,4,6,5,1,2,9,67,303,6,537879
6,2,4,6,4,2,2,9,45,233,4,517526
1,2,3,48,4,2,2,7,1,314,3,2807477
