_tid_,RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB
0,6,2,4,6,4,2,2,9,45,6,4
1,6,1,1,36,4,2,2,2,43,36,4
2,6,1,3,51,4,2,1,5,20,238,4
3,9,1,4,6,4,2,2,9,68,6,3
4,6,1,4,6,4,2,2,9,45,6,4
5,6,2,3,48,5,2,2,7,43,48,4
6,6,2,3,12,4,2,2,5,38,210,4
7,9,1,3,48,5,2,2,7,68,48,3
8,8,1,3,24,5,2,2,5,67,312,3
9,8,2,3,37,5,2,2,5,67,314,3
10,6,2,1,36,4,2,2,2,1,36,4
11,1,2,3,12,1,2,2,5,1,164,5
12,8,1,4,53,5,2,2,9,67,303,3
13,8,2,4,6,5,2,2,9,67,303,3
14,9,2,3,12,4,2,2,5,68,370,3
15,8,1,4,6,4,2,2,9,67,303,3
16,6,1,4,6,5,2,2,9,57,6,4
17,9,2,4,6,4,2,1,9,68,303,3
18,8,1,4,32,5,2,2,8,67,312,3
19,6,2,3,24,4,2,2,5,38,210,4
20,6,1,4,6,4,2,2,9,45,6,4
21,5,2,1,34,5,2,2,2,1,253,4
22,6,1,4,4,5,2,2,8,1,210,4
23,6,2,4,6,4,2,1,9,67,6,4
24,1,2,3,12,1,2,1,5,1,102,4
25,8,2,4,24,5,2,2,9,67,303,3
26,1,2,3,48,4,2,2,7,1,48,4
27,2,1,1,36,1,2,2,2,2,316,3
28,1,2,3,35,4,2,2,7,1,303,3
29,6,2,4,1,4,2,1,9,46,223,4
30,2,2,1,39,5,2,2,2,2,460,6
31,6,2,1,42,4,2,2,2,1,42,4
32,9,2,4,6,5,2,1,9,68,303,3
33,9,1,2,39,1,2,2,3,68,39,4
34,1,2,3,48,4,2,2,7,1,48,3
35,9,1,4,32,4,2,2,8,68,327,3
36,6,1,2,29,4,2,2,4,45,233,4
37,6,1,4,6,4,2,2,9,49,6,4
38,8,2,1,36,5,2,2,2,67,36,3
39,6,1,4,4,1,2,2,8,1,508,8
40,9,1,3,48,1,2,2,7,68,48,3
41,9,1,1,36,4,2,1,2,68,36,3
42,6,2,4,6,5,2,2,9,48,6,4
43,6,2,4,6,5,2,2,9,45,6,4
44,6,2,4,15,4,2,2,9,43,207,4
45,6,2,1,36,1,2,2,2,1,36,1
46,9,2,4,6,4,2,1,9,68,303,3
47,8,1,4,6,5,2,2,9,67,313,3
48,6,1,4,6,1,2,2,9,44,6,4
49,3,2,1,9,5,2,2,1,1,303,3
50,6,2,4,72,4,2,2,9,45,72,4
51,6,2,1,34,1,1,2,2,38,210,4
52,6,2,4,6,5,2,2,9,38,6,4
53,2,1,3,48,5,2,1,7,2,440,6
54,6,2,3,48,1,2,2,7,43,48,4
55,9,2,4,6,4,2,1,9,68,303,3
